GEOID,white,black,hispanic,asian,white_inflow,black_inflow,hispanic_inflow,asian_inflow,Under $50K,$50K - $100K,$100K - $200K,Over $200K,Under $50K_inflow,$50K - $100K_inflow,$100K - $200K_inflow,Over $200K_inflow,Food,Shopping,Work,Health,Religious,Service,Entertainment,Grocery,Education,Arts/Museum,Transportation,Sports,Lean Democrat,Lean Republican,Other,Lean Democrat_inflow,Lean Republican_inflow,Other_inflow
482013210005,0.131054131054131,0.047008547008547,0.766025641025641,0.0039173789173789,0.16171420488042237,0.1258662434513709,0.6673546578820032,0.045064893786203555,0.3005390835579515,0.5121293800539084,0.1873315363881401,0.0,0.5464155476372423,0.2441618531070773,0.18084094782149748,0.028581651434182974,11.6167464198222,13.728882132517146,2.1121357126949456,3.168203569042418,1.0560678563474728,1.0560678563474728,2.1121357126949456,0.0,0.0,0.0,0.0,0.0,0.728595890410959,0.1541095890410959,0.1172945205479452,0.6924123226357067,0.15611121454063157,0.15147646282366176
482013211001,0.184304932735426,0.262107623318386,0.447533632286995,0.0975336322869955,0.24710605889145262,0.13953965289936276,0.5440571599598505,0.06929712824933418,0.4373385012919896,0.3397932816537468,0.1983204134366925,0.024547803617571,0.48065065168093946,0.24499247902971108,0.2251088032699813,0.04924806601936811,2.34783243547518,3.0186417027538024,0.6708092672786228,7.043497306425539,0.6708092672786228,5.7018787718682935,1.006213900917934,0.0,0.3354046336393114,0.0,0.0,0.0,0.6013189448441247,0.13788968824940048,0.2607913669064748,0.614516752780486,0.22948750958001335,0.1559957376395007
482013211002,0.0994197292069633,0.0,0.788394584139265,0.0932301740812379,0.22480142836815287,0.12273824821207067,0.5887017605040227,0.06375856291575371,0.4750656167979002,0.3070866141732283,0.2007874015748031,0.0170603674540682,0.50574312881413,0.24424217564455897,0.20911874576318898,0.04089594977812197,1.8806982901336984,0.9403491450668492,0.0,0.0,0.4701745725334245,6.112269442934519,0.9403491450668492,0.0,0.4701745725334245,0.4701745725334245,0.4701745725334245,0.0,0.6956521739130435,0.17523056653491437,0.12911725955204217,0.6339405361243964,0.21302290643671115,0.15303655743889236
482013211003,0.100421348314607,0.0154494382022472,0.866573033707865,0.0,0.18680748991297239,0.1338511172460908,0.611589367852499,0.06775202498843777,0.5821727019498607,0.1894150417827298,0.2284122562674094,0.0,0.517345035582803,0.25744557986468836,0.1964673938377632,0.028741990714745314,0.0,8.910294305382106,0.0,0.0,6.68272072903658,2.2275735763455264,0.0,4.455147152691053,0.0,0.0,0.0,0.0,0.6417910447761194,0.1791044776119403,0.1791044776119403,0.6518627769205941,0.18514352529052333,0.1629936977888825
482013212001,0.0477366255144033,0.162962962962963,0.761316872427984,0.0279835390946502,0.15460273794296273,0.08973896477883829,0.7142417322602678,0.04141656501793123,0.8140770252324038,0.0637450199203187,0.1221779548472775,0.0,0.5318402293554478,0.2521317053474534,0.1782797489963203,0.037748316300778545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.839297679813916,0.0,0.0,0.0,0.8461538461538461,0.09193245778611632,0.06191369606003752,0.7045934904337041,0.1633749296163523,0.13203157994994355
482013212002,0.165625,0.0,0.816875,0.006875,0.0,0.0,0.0,0.0,0.6630434782608696,0.3,0.0217391304347826,0.0152173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7146171693735499,0.10440835266821345,0.18097447795823665,0.0,0.0,0.0
482013213001,0.047669868374244,0.131270010672359,0.806830309498399,0.0142298114549982,0.14805372350257423,0.10698228974072432,0.7121880956158135,0.03277589114088801,0.6859791425260718,0.250289687137891,0.063731170336037,0.0,0.5937845947390248,0.22958781529845107,0.15410267142691775,0.022524918535606394,17.720795303835327,0.0,2.9534658839725547,0.0,2.9534658839725547,2.9534658839725547,5.906931767945109,0.0,0.0,0.0,0.0,0.0,0.656934306569343,0.04744525547445255,0.2956204379562044,0.7046869291600071,0.14563339003619252,0.1496796808038003
482013213002,0.085680047932894,0.0808867585380467,0.789095266626723,0.0,0.14270693852900193,0.10856499111121513,0.7185747876146494,0.03015328274513332,0.8962108731466227,0.1037891268533772,0.0,0.0,0.6012848317211262,0.2243711235040745,0.1527252624546772,0.02161878232012225,13.303274606268356,4.434424868756119,0.0,0.0,8.868849737512239,8.868849737512239,0.0,0.0,0.0,0.0,0.0,0.0,0.8757396449704142,0.047337278106508875,0.07692307692307693,0.716553411111855,0.14186037289737455,0.14158621599077056
482013213003,0.100218818380744,0.0428884026258206,0.856892778993435,0.0,0.16100912941186374,0.0850964374192197,0.7261263159943377,0.02776811717457892,0.5155642023346303,0.2003891050583657,0.2334630350194552,0.0505836575875486,0.5944005993609776,0.21916042886084683,0.1625304261323771,0.023908545645798564,0.9957113642673194,1.9914227285346389,0.0,0.0,0.9957113642673194,0.9957113642673194,0.0,1.9914227285346389,0.0,0.0,0.0,0.0,0.6533333333333333,0.22,0.12666666666666668,0.7001101706332578,0.1642656808450849,0.13562414852165738
482013214011,0.0976775956284153,0.0,0.895150273224044,0.0071721311475409,0.0,0.0,0.0,0.0,0.7188755020080322,0.1499330655957162,0.1311914323962517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7887740029542097,0.0930576070901034,0.11816838995568685,0.0,0.0,0.0
