GEOID,white,black,asian,hispanic,white_inflow,black_inflow,hispanic_inflow,asian_inflow,Under $50K,$50K - $100K,$100K - $200K,Over $200K,Under $50K_inflow,$50K - $100K_inflow,$100K - $200K_inflow,Over $200K_inflow,Food,Shopping,Work,Health,Religious,Service,Entertainment,Grocery,Education,Arts/Museum,Transportation,Sports,LATITUDE,LONGITUDE,total_population
250250509011,0.2276519666269368,0.0,0.0071513706793802,0.7401668653158522,0.3336192994809013,0.0716193976309333,0.5482420487700899,0.0465192541180754,0.4530938123752495,0.1696606786427145,0.3772455089820359,0.0,0.50724851040628,0.1900972506588914,0.2433975478362373,0.0592566910985912,79.37378911358967,24.80430909799677,0.0,4.960861819599354,0.0,39.68689455679483,0.0,14.882585458798063,0.0,0.0,4.960861819599354,0.0,42.3802628,-71.0256017,4947
250250509012,0.2433371958285052,0.0046349942062572,0.0399768250289687,0.5984936268829664,0.3266895107514526,0.0534115896748112,0.5702557615030236,0.0496431380707125,0.4941763727121464,0.1697171381031613,0.2262895174708818,0.1098169717138103,0.4926250419876472,0.20309345708812,0.2290316583199607,0.0752498426042719,0.0,11.457244139766154,0.0,0.0,0.0,0.0,0.0,22.914488279532307,0.0,11.457244139766154,0.0,0.0,42.3800883,-71.0308992,5403
250250509013,0.2037193575655114,0.0,0.0557903634826711,0.7404902789518174,0.3134091018683568,0.0607903767096332,0.5648658087085197,0.0609347127134902,0.7449856733524355,0.0315186246418338,0.2234957020057306,0.0,0.5277329231202039,0.1822093452780079,0.2208899557050449,0.0691677758967432,1.9243917442184035,3.848783488436807,0.0,0.0,0.0,13.470742209528824,3.848783488436807,0.0,0.0,7.697566976873614,1.9243917442184035,0.0,42.3819368,-71.0295001,3065
250250510001,0.5015491866769946,0.0398915569326103,0.0100697134004647,0.4407436096049574,0.4264079683347643,0.0815890485439228,0.4340714829777977,0.0579315001435152,0.4944162436548223,0.1807106598984771,0.2812182741116751,0.0436548223350253,0.4977580454724322,0.1790685314614882,0.2590220542150563,0.0641513688510232,5.970198734983131,0.0,0.0,0.0,2.9850993674915656,14.925496837457828,11.940397469966262,2.9850993674915656,5.970198734983131,2.9850993674915656,0.0,0.0,42.3823328,-71.0160144,6934
250250510002,0.2473684210526315,0.0305263157894736,0.1863157894736842,0.5263157894736842,0.3339458466424084,0.1406646149755504,0.4528850897360074,0.0725044486460337,0.8520286396181385,0.0692124105011933,0.0214797136038186,0.0572792362768496,0.5532460125132878,0.164607799155369,0.2204031714866183,0.0617430168447249,5.082497094094,3.8118728205705,0.0,1.2706242735235,0.0,7.623745641141,2.541248547047,1.2706242735235,0.0,1.2706242735235,1.2706242735235,0.0,42.3905217,-71.0151938,3360
250250510003,0.5534062237174096,0.0,0.0538267451640033,0.2607232968881413,0.4158248581068542,0.1095837504526445,0.4192706472590872,0.055320744181414,0.4578313253012048,0.1710843373493976,0.3156626506024096,0.0554216867469879,0.5273434695621283,0.173384024868377,0.2455018207201661,0.0537706848493283,0.0,7.524652816935578,0.0,15.049305633871157,0.0,7.524652816935578,0.0,0.0,0.0,0.0,7.524652816935578,0.0,42.3841782,-71.0189872,3114
250250511011,0.3153511947863867,0.056480811006517,0.0195510499637943,0.6086169442433019,0.3853825212842743,0.0616047360528916,0.492004552603148,0.0610081900596858,0.4223918575063613,0.0966921119592875,0.4338422391857506,0.0470737913486005,0.5099171534284621,0.1583228759172525,0.2649957885823925,0.0667641820718929,36.26022745196237,9.065056862990591,0.0,4.5325284314952965,9.065056862990591,40.79275588345767,4.5325284314952965,9.065056862990591,0.0,0.0,0.0,0.0,42.3882285,-71.0046816,4534
250250511012,0.2993841781146376,0.0075793462813832,0.1364282330648981,0.5030791094268119,0.3159353283232134,0.1503296451285294,0.4548195150180484,0.0789155115302087,0.6676427525622255,0.0863836017569546,0.1654465592972181,0.0805270863836017,0.5692427072918076,0.1537949201018534,0.2176687848272653,0.0592935877790735,0.0,0.0,0.0,0.0,3.5134597550209823,10.540379265062947,0.0,0.0,0.0,0.0,0.0,0.0,42.390859,-71.0089839,5056
250250511013,0.5574302401038287,0.0,0.035691109669046,0.4068786502271252,0.4294057260616241,0.0682101512890871,0.4503057026363689,0.0520784200129198,0.3775933609958506,0.1224066390041493,0.425311203319502,0.0746887966804979,0.4758953259408509,0.1709133722278598,0.2794553163162239,0.0737359855150652,3.810658641404504,0.0,0.0,0.0,0.0,0.9526646603511256,0.9526646603511256,0.0,0.0,0.9526646603511256,0.0,0.9526646603511256,42.3835194,-71.0009504,4592
250250511014,0.3299293008641005,0.03770620581304,0.0133542812254516,0.6190102120974077,0.3739593610801807,0.0682619871302838,0.5014714913375488,0.0563071604519864,0.3182897862232779,0.4726840855106888,0.1306413301662707,0.0783847980997624,0.4884161211240527,0.2221926181191758,0.2169318627766407,0.0724593979801306,4.398652355463051,0.0,0.0,13.195957066389154,0.0,4.398652355463051,0.0,0.0,4.398652355463051,4.398652355463051,4.398652355463051,0.0,42.3913407,-71.0020343,1492
